"s","p","t","v","time","diff"
"BINANCE:BTCUSDT","112339.74","1761473391355","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.07","1761473391172","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391164","0.05426","1761473397154","1"
"BINANCE:BTCUSDT","112340.51","1761473391172","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","0.00012","1761473397154","1"
"BINANCE:BTCUSDT","112340.0","1761473391172","0.0002","1761473397154","1"
"BINANCE:BTCUSDT","112340.5","1761473391172","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112340.59","1761473391172","0.0006","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112339.74","1761473391355","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112340.5","1761473391172","0.06","1761473397154","1"
"BINANCE:BTCUSDT","112341.07","1761473391172","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391164","0.01445","1761473397154","1"
"BINANCE:BTCUSDT","112339.73","1761473391355","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112340.51","1761473391172","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112340.0","1761473391172","0.0012","1761473397154","1"
"BINANCE:BTCUSDT","112339.74","1761473391355","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112339.74","1761473391355","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112340.01","1761473391172","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","0.0013","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112340.51","1761473391172","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112339.73","1761473391355","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112339.74","1761473391355","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112339.75","1761473391233","0.03","1761473397154","1"
"BINANCE:BTCUSDT","112340.51","1761473391172","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","0.00026","1761473397154","1"
"BINANCE:BTCUSDT","112340.0","1761473391172","0.0178","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","0.00022","1761473397154","1"
"BINANCE:BTCUSDT","112339.74","1761473391344","0.00105","1761473397154","1"
"BINANCE:BTCUSDT","112339.74","1761473391355","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112340.51","1761473391172","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112340.18","1761473391172","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112339.74","1761473391355","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112339.74","1761473391355","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.07","1761473391172","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112340.18","1761473391172","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112339.74","1761473391344","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112340.01","1761473391172","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112339.74","1761473391355","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112339.73","1761473391355","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112339.74","1761473391355","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","0.00261","1761473397154","1"
"BINANCE:BTCUSDT","112339.73","1761473391355","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112339.74","1761473391355","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112340.0","1761473391172","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112339.73","1761473391355","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112340.0","1761473391172","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.07","1761473391172","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112339.74","1761473391344","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112340.59","1761473391172","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.07","1761473391172","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.07","1761473391172","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.09","1761473390873","0.00222","1761473397154","1"
"BINANCE:BTCUSDT","112340.51","1761473391172","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","0.00103","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112339.74","1761473391355","0.00084","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112339.73","1761473391355","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112339.74","1761473391344","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112339.74","1761473391344","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112340.51","1761473391172","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112339.73","1761473391355","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","0.00288","1761473397154","1"
"BINANCE:BTCUSDT","112340.51","1761473391172","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.07","1761473391172","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112340.0","1761473391172","0.0002","1761473397154","1"
"BINANCE:BTCUSDT","112341.07","1761473391172","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112339.74","1761473391355","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112339.74","1761473391344","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.09","1761473391015","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112339.73","1761473391355","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112340.51","1761473391172","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112339.73","1761473391355","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112339.74","1761473391344","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112339.74","1761473391355","0.00018","1761473397154","1"
"BINANCE:BTCUSDT","112339.73","1761473391355","5e-5","1761473397396","1"
"BINANCE:BTCUSDT","112339.73","1761473391355","5e-5","1761473397396","1"
"BINANCE:BTCUSDT","112338.95","1761473391355","5e-5","1761473397396","1"
"BINANCE:BTCUSDT","112339.73","1761473391355","5e-5","1761473397396","1"
"BINANCE:BTCUSDT","112339.73","1761473391355","5e-5","1761473397396","1"
"BINANCE:BTCUSDT","112339.73","1761473391355","5e-5","1761473397396","1"
"BINANCE:BTCUSDT","112339.73","1761473391355","5e-5","1761473397396","1"
"BINANCE:BTCUSDT","112339.2","1761473391355","5e-5","1761473397396","1"
"BINANCE:BTCUSDT","112339.73","1761473391355","5e-5","1761473397396","1"
"BINANCE:BTCUSDT","112339.2","1761473391355","5e-5","1761473397396","1"
"BINANCE:BTCUSDT","112339.13","1761473391355","5e-5","1761473397396","1"
"BINANCE:BTCUSDT","112338.95","1761473391355","5e-5","1761473397396","1"
"BINANCE:BTCUSDT","112339.73","1761473391355","5e-5","1761473397396","1"
"BINANCE:BTCUSDT","112339.73","1761473391355","5e-5","1761473397396","1"
"BINANCE:BTCUSDT","112338.95","1761473391355","5e-5","1761473397396","1"
"BINANCE:BTCUSDT","112338.94","1761473391355","0.00052","1761473397396","1"
"BINANCE:BTCUSDT","112339.13","1761473391355","0.0001","1761473397396","1"
"BINANCE:BTCUSDT","112339.2","1761473391355","5e-5","1761473397396","1"
"BINANCE:BTCUSDT","112339.73","1761473391355","5e-5","1761473397396","1"
"BINANCE:BTCUSDT","112339.2","1761473391355","0.00055","1761473397396","1"
"BINANCE:BTCUSDT","112339.2","1761473391355","5e-5","1761473397396","1"
"BINANCE:BTCUSDT","112339.73","1761473391355","5e-5","1761473397396","1"
"BINANCE:BTCUSDT","112339.73","1761473391355","5e-5","1761473397396","1"
"BINANCE:BTCUSDT","112338.93","1761473392415","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.94","1761473392226","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.92","1761473392645","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.93","1761473392415","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.94","1761473392226","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.92","1761473392612","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.94","1761473392226","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.93","1761473392415","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.94","1761473392226","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.93","1761473392415","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.93","1761473392226","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.92","1761473392612","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.92","1761473392716","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.93","1761473392415","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.93","1761473392415","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.94","1761473392226","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.93","1761473392415","0.00012","1761473398156","1"
"BINANCE:BTCUSDT","112338.93","1761473392415","4e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.94","1761473392226","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.92","1761473392716","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.93","1761473392415","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.93","1761473392415","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.94","1761473392226","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.94","1761473392226","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.94","1761473392226","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.93","1761473392415","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.94","1761473392226","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.93","1761473392415","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.92","1761473392716","2e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.92","1761473392612","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.94","1761473392226","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.93","1761473392415","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.93","1761473392415","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.94","1761473392226","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.93","1761473392415","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.92","1761473392612","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.93","1761473392415","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.92","1761473392716","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.94","1761473392226","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.94","1761473392226","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.93","1761473392226","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.93","1761473392415","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.93","1761473392415","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.93","1761473392415","0.00062","1761473398156","1"
"BINANCE:BTCUSDT","112338.93","1761473392415","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.93","1761473392226","1e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.93","1761473392415","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.92","1761473392612","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.94","1761473392226","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.92","1761473392716","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.94","1761473392226","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.92","1761473392612","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.93","1761473392415","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.92","1761473392645","1e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.94","1761473392226","0.00029","1761473398156","1"
"BINANCE:BTCUSDT","112338.92","1761473392612","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.93","1761473392415","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.93","1761473392226","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.93","1761473392415","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.94","1761473392226","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.94","1761473392226","0.00015","1761473398156","1"
"BINANCE:BTCUSDT","112338.92","1761473392645","3e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.94","1761473392226","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.93","1761473392415","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.93","1761473392415","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.94","1761473392226","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.93","1761473392415","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.92","1761473392716","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.93","1761473392226","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.94","1761473392226","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.93","1761473392415","0.0001","1761473398156","1"
"BINANCE:BTCUSDT","112338.93","1761473392415","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.94","1761473392226","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.92","1761473392612","4e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.94","1761473392226","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.94","1761473392226","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.93","1761473392226","5e-5","1761473398156","1"
"BINANCE:BTCUSDT","112338.94","1761473392226","5e-5","1761473398156","1"
