"symbol","windowStart","windowEnd","out","time","diff"
"TSLA","2021-09-01T14:23:00.000000000+0000","2021-09-01T16:23:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T12:51:00.000000000+0000","2021-09-01T14:51:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:18:00.000000000+0000","2021-09-01T04:18:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:16:00.000000000+0000","2021-09-01T15:16:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:02:00.000000000+0000","2021-09-01T05:02:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T12:14:00.000000000+0000","2021-09-01T14:14:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:26:00.000000000+0000","2021-09-01T05:26:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T12:40:00.000000000+0000","2021-09-01T14:40:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:07:00.000000000+0000","2021-09-01T15:07:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:53:00.000000000+0000","2021-09-01T15:53:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T14:03:00.000000000+0000","2021-09-01T16:03:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T04:00:00.000000000+0000","2021-09-01T06:00:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:41:00.000000000+0000","2021-09-01T15:41:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:19:00.000000000+0000","2021-09-01T04:19:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:05:00.000000000+0000","2021-09-01T04:05:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:08:00.000000000+0000","2021-09-01T04:08:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:24:00.000000000+0000","2021-09-01T04:24:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:11:00.000000000+0000","2021-09-01T04:11:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:11:00.000000000+0000","2021-09-01T05:11:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:06:00.000000000+0000","2021-09-01T04:06:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T12:57:00.000000000+0000","2021-09-01T14:57:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T14:00:00.000000000+0000","2021-09-01T16:00:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:42:00.000000000+0000","2021-09-01T05:42:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:32:00.000000000+0000","2021-09-01T05:32:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T12:52:00.000000000+0000","2021-09-01T14:52:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:03:00.000000000+0000","2021-09-01T15:03:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T14:25:00.000000000+0000","2021-09-01T16:25:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:31:00.000000000+0000","2021-09-01T15:31:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T14:11:00.000000000+0000","2021-09-01T16:11:00.000000000+0000","None","1764669563802","1"
