"symbol","windowStart","windowEnd","preds_json","time","diff","crns_pred","time","diff"
"TSLA","2021-11-05T03:04:00.000000000+0000","2021-11-05T05:04:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [401.9819030761719, 393.2515869140625, 384.1499938964844, 375.02398681640625, 365.5347595214844, 355.9320068359375, 346.40814208984375, 337.07464599609375, 327.4522399902344, 317.96746826171875], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","401.9819030761719","1764938268168","1"
"TSLA","2021-11-05T03:34:00.000000000+0000","2021-11-05T05:34:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [398.220458984375, 386.8248291015625, 375.68212890625, 364.697021484375, 353.30511474609375, 341.9855041503906, 330.8021240234375, 319.63372802734375, 308.2351989746094, 297.3002624511719], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","398.220458984375","1764938268168","1"
"TSLA","2021-11-05T03:15:00.000000000+0000","2021-11-05T05:15:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [398.1769714355469, 385.1536560058594, 372.6751708984375, 360.1197204589844, 347.3741455078125, 334.79296875, 322.0970153808594, 309.3846435546875, 297.0353088378906, 284.81756591796875], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","398.1769714355469","1764938268168","1"
"TSLA","2021-11-05T03:02:00.000000000+0000","2021-11-05T05:02:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [404.85675048828125, 397.8188171386719, 391.5556335449219, 384.4463195800781, 377.85595703125, 370.1327209472656, 362.830810546875, 355.1458740234375, 347.8666076660156, 340.21685791015625], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","404.85675048828125","1764938268168","1"
"TSLA","2021-11-05T02:51:00.000000000+0000","2021-11-05T04:51:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [400.7757263183594, 390.863525390625, 380.7427062988281, 370.7451477050781, 360.1779479980469, 349.9892883300781, 339.8330383300781, 329.3420104980469, 319.1210632324219, 308.8880310058594], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","400.7757263183594","1764938268168","1"
"TSLA","2021-11-05T03:28:00.000000000+0000","2021-11-05T05:28:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [401.1590576171875, 391.7548828125, 381.1490478515625, 370.8512268066406, 360.044677734375, 349.61199951171875, 339.1114196777344, 328.8658752441406, 318.3593444824219, 308.252685546875], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","401.1590576171875","1764938268168","1"
"TSLA","2021-11-05T03:45:00.000000000+0000","2021-11-05T05:45:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [401.3435363769531, 393.16180419921875, 385.1759033203125, 377.2051696777344, 368.9500427246094, 360.8017272949219, 352.71881103515625, 344.40338134765625, 336.0002746582031, 327.8295593261719], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","401.3435363769531","1764938268168","1"
"TSLA","2021-11-05T03:35:00.000000000+0000","2021-11-05T05:35:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [398.5600891113281, 385.9009094238281, 373.007080078125, 360.31036376953125, 347.28717041015625, 334.465087890625, 321.4625549316406, 308.6253662109375, 295.56463623046875, 283.3409423828125], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","398.5600891113281","1764938268168","1"
"TSLA","2021-11-05T02:57:00.000000000+0000","2021-11-05T04:57:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [402.53564453125, 395.11676025390625, 387.4096374511719, 379.7250671386719, 371.61114501953125, 363.6514587402344, 355.4281005859375, 347.14727783203125, 339.009765625, 330.9411315917969], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","402.53564453125","1764938268168","1"
"TSLA","2021-11-05T03:52:00.000000000+0000","2021-11-05T05:52:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [401.7264404296875, 393.7602844238281, 385.92596435546875, 378.08270263671875, 369.9391784667969, 362.00286865234375, 353.9834899902344, 345.8633117675781, 337.8721618652344, 329.8169250488281], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","401.7264404296875","1764938268168","1"
